Entity,Code,Date,cases
United States,USA,31-Dec-19,0
United States,USA,1-Jan-20,0
United States,USA,2-Jan-20,0
United States,USA,3-Jan-20,0
United States,USA,4-Jan-20,0
United States,USA,5-Jan-20,0
United States,USA,6-Jan-20,0
United States,USA,7-Jan-20,0
United States,USA,8-Jan-20,0
United States,USA,9-Jan-20,0
United States,USA,10-Jan-20,0
United States,USA,11-Jan-20,0
United States,USA,12-Jan-20,0
United States,USA,13-Jan-20,0
United States,USA,14-Jan-20,0
United States,USA,15-Jan-20,0
United States,USA,16-Jan-20,0
United States,USA,17-Jan-20,0
United States,USA,18-Jan-20,0
United States,USA,19-Jan-20,0
United States,USA,20-Jan-20,0
United States,USA,21-Jan-20,1
United States,USA,22-Jan-20,0
United States,USA,23-Jan-20,0
United States,USA,24-Jan-20,0
United States,USA,25-Jan-20,1
United States,USA,26-Jan-20,0
United States,USA,27-Jan-20,3
United States,USA,28-Jan-20,0
United States,USA,29-Jan-20,0
United States,USA,30-Jan-20,0
United States,USA,31-Jan-20,1
United States,USA,1-Feb-20,1
United States,USA,2-Feb-20,1
United States,USA,3-Feb-20,3
United States,USA,4-Feb-20,0
United States,USA,5-Feb-20,0
United States,USA,6-Feb-20,1
United States,USA,7-Feb-20,0
United States,USA,8-Feb-20,0
United States,USA,9-Feb-20,0
United States,USA,10-Feb-20,0
United States,USA,11-Feb-20,1
United States,USA,12-Feb-20,0
United States,USA,13-Feb-20,1
United States,USA,14-Feb-20,1
United States,USA,15-Feb-20,0
United States,USA,16-Feb-20,0
United States,USA,17-Feb-20,0
United States,USA,18-Feb-20,0
United States,USA,19-Feb-20,0
United States,USA,20-Feb-20,0
United States,USA,21-Feb-20,1
United States,USA,22-Feb-20,19
United States,USA,23-Feb-20,0
United States,USA,24-Feb-20,0
United States,USA,25-Feb-20,18
United States,USA,26-Feb-20,0
United States,USA,27-Feb-20,6
United States,USA,28-Feb-20,1
United States,USA,29-Feb-20,6
United States,USA,1-Mar-20,3
United States,USA,2-Mar-20,20
United States,USA,3-Mar-20,14
United States,USA,4-Mar-20,22
United States,USA,5-Mar-20,34
United States,USA,6-Mar-20,74
United States,USA,7-Mar-20,105
United States,USA,8-Mar-20,95
United States,USA,9-Mar-20,121
United States,USA,10-Mar-20,200
United States,USA,11-Mar-20,271
United States,USA,12-Mar-20,287
United States,USA,13-Mar-20,351
United States,USA,14-Mar-20,511
United States,USA,15-Mar-20,777
United States,USA,16-Mar-20,823
United States,USA,17-Mar-20,887
United States,USA,18-Mar-20,1766
United States,USA,19-Mar-20,2988
United States,USA,20-Mar-20,4835
United States,USA,21-Mar-20,5374
United States,USA,22-Mar-20,7123
United States,USA,23-Mar-20,8459
United States,USA,24-Mar-20,11236
United States,USA,25-Mar-20,8789
United States,USA,26-Mar-20,13963
United States,USA,27-Mar-20,16797
United States,USA,28-Mar-20,18695
United States,USA,29-Mar-20,19979
United States,USA,30-Mar-20,18360
United States,USA,31-Mar-20,21595
United States,USA,1-Apr-20,24998
United States,USA,2-Apr-20,27103
United States,USA,3-Apr-20,28819
United States,USA,4-Apr-20,32425
United States,USA,5-Apr-20,34272
United States,USA,6-Apr-20,25398
United States,USA,7-Apr-20,30561
United States,USA,8-Apr-20,30613
United States,USA,9-Apr-20,33323
United States,USA,10-Apr-20,33901
United States,USA,11-Apr-20,35527
United States,USA,12-Apr-20,28391
United States,USA,13-Apr-20,27620
United States,USA,14-Apr-20,25023
United States,USA,15-Apr-20,26922
United States,USA,16-Apr-20,30148
United States,USA,17-Apr-20,31667
United States,USA,18-Apr-20,30833
United States,USA,19-Apr-20,32922
United States,USA,20-Apr-20,24601
United States,USA,21-Apr-20,28065
United States,USA,22-Apr-20,37289
United States,USA,23-Apr-20,17588
United States,USA,24-Apr-20,26543
United States,USA,25-Apr-20,21352
United States,USA,26-Apr-20,48529
United States,USA,27-Apr-20,26857
United States,USA,28-Apr-20,22541
United States,USA,29-Apr-20,24132
United States,USA,30-Apr-20,27326
United States,USA,1-May-20,29917
United States,USA,2-May-20,33955
United States,USA,3-May-20,29288
United States,USA,4-May-20,24972
United States,USA,5-May-20,22593
United States,USA,6-May-20,23841
United States,USA,7-May-20,24128
United States,USA,8-May-20,28369
United States,USA,9-May-20,26957
United States,USA,10-May-20,25612
United States,USA,11-May-20,20258
United States,USA,12-May-20,18117
United States,USA,13-May-20,22048
United States,USA,14-May-20,20782
United States,USA,15-May-20,27143
United States,USA,16-May-20,25508
United States,USA,17-May-20,24487
United States,USA,18-May-20,18873
United States,USA,19-May-20,21841
United States,USA,20-May-20,19970
United States,USA,21-May-20,23285
United States,USA,22-May-20,25434
United States,USA,23-May-20,24147
United States,USA,24-May-20,21236
United States,USA,25-May-20,20568
United States,USA,26-May-20,19064
United States,USA,27-May-20,18910
United States,USA,28-May-20,18721
United States,USA,29-May-20,21817
United States,USA,30-May-20,25337
United States,USA,31-May-20,23297
United States,USA,1-Jun-20,19807
United States,USA,2-Jun-20,21086
United States,USA,3-Jun-20,20544
United States,USA,4-Jun-20,19699
United States,USA,5-Jun-20,21140
United States,USA,6-Jun-20,25178
United States,USA,7-Jun-20,22223
United States,USA,8-Jun-20,22302
United States,USA,9-Jun-20,18822
United States,USA,10-Jun-20,18665
United States,USA,11-Jun-20,20614
United States,USA,12-Jun-20,22883
United States,USA,13-Jun-20,25639
United States,USA,14-Jun-20,25540
United States,USA,15-Jun-20,19543
United States,USA,16-Jun-20,19957
United States,USA,17-Jun-20,23705
United States,USA,18-Jun-20,25559
United States,USA,19-Jun-20,27762
United States,USA,20-Jun-20,29909
United States,USA,21-Jun-20,34158
United States,USA,22-Jun-20,25793
United States,USA,23-Jun-20,31390
United States,USA,24-Jun-20,34720
United States,USA,25-Jun-20,34339
United States,USA,26-Jun-20,40949
United States,USA,27-Jun-20,45527
United States,USA,28-Jun-20,42486
United States,USA,29-Jun-20,38673
United States,USA,30-Jun-20,41556
United States,USA,1-Jul-20,43880
United States,USA,2-Jul-20,52048
United States,USA,3-Jul-20,53399